taxtree,Proteobacteria,Planctomycetota,Verrucomicrobiota,Firmicutes,Actinobacteriota,Desulfobacterota,Bacteroidota,Chloroflexi,Cyanobacteria,Fusobacteriota,Myxococcota,SAR324_clade(Marine_group_B),Bdellovibrionota,Dependentiae,Spirochaetota,Deferribacterota,Synergistota,Patescibacteria,Acidobacteriota,d__Archaea;Thermoplasmatota,Elusimicrobiota,WPS-2,Campilobacterota,d__Archaea;Euryarchaeota,d__Archaea;Crenarchaeota,Fibrobacterota,NB1-j,Rs-K70_termite_group,d__Archaea;Halobacterota,d__Archaea;Nanoarchaeota,Gemmatimonadota,Latescibacterota,PAUC34f,Armatimonadota,MBNT15,Dadabacteria,Poribacteria,Sva0485,Entotheonellaeota,Halanaerobiaeota,Hydrogenedentes,Schekmanbacteria,Nitrospirota,Sumerlaeota,Deinococcota,Nitrospinota,Modulibacteria,FW113,AncK6,WS2,Calditrichota,Methylomirabilota,Cloacimonadota,Zixibacteria,Marinimicrobia_(SAR406_clade),RCP2-54,Abditibacteriota
Potamochoerus_porcus,0,0,2,129,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sus_cebifons,0,0,4,104,4,0,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Speothos_venaticus,0,0,0,112,6,0,28,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinonyx_jubatus,12,0,0,110,10,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crocuta_crocuta,7,0,0,69,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panthera_leo,3410,0,114,137010,2629,258,33845,0,0,66833,0,0,0,0,5,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ailuropoda_melanoleuca,0,0,0,563,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ailurus_fulgens,850,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tremarctos_ornatus,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursus_americanus,3,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursus_maritimus,116,0,0,248,1,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carollia_perspicillata,2,1,0,266,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pteropus_giganteus,44,0,2,64,8,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Procavia_capensis,0,0,0,68,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atelerix_albiventris,42,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oryctolagus_cuniculus,6265,0,1936,144120,381,455,28595,0,8250,0,0,103,0,0,0,0,0,0,0,0,0,0,1130,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equus_asinus,2,0,39,71,3,1,34,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equus_ferus,3,0,52,271,5,0,127,1,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equus_grevyi,1,0,67,96,1,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equus_hartmannae,159,0,0,26,25,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diceros_bicornis,1,1,14,71,0,0,77,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhinoceros_unicornis,13374,797,8556,65449,1150,302,98679,380,73,136,0,0,243,0,14340,0,5,577,2,206,224,0,20,1131,0,2338,0,0,47,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ateles_geoffroyi,0,0,0,163,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Callithrix_geoffroyi,0,0,0,16,4,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Callimico_goeldii,0,0,0,37,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colobus_angolensis,0,0,0,127,0,0,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colobus_guereza,3,0,12,146,0,2,35,0,3,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papio_hamadryas,0,0,2,265,0,0,60,0,2,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Presbytis_francoisis,43,1,2,206,0,0,110,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pygathrix_nemaeus,40674,0,79,8529,860,0,11867,0,20,0,0,0,0,0,26,0,0,0,0,0,0,0,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gorilla_gorilla,1025,5,4807,97211,4386,272,8703,0,684,2,0,0,0,0,954,0,0,1,0,2,0,1,0,24300,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pan_paniscus,0,0,0,66,6,0,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pan_troglodytes,0,1,0,164,2,1,51,0,1,0,0,0,0,0,1,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pongo_pygmaeus_abelii,3,0,4,317,12,2,104,0,0,0,0,0,0,0,3,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eulemur_macaco,2,0,0,49,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eulemur_mongoz,0,0,0,184,3,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lemur_catta,1,0,34,111,0,0,44,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pithecia_pithecia,2,0,0,361,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elephas_maximus,2,1,71,194,3,3,117,1,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loxodonta_africana,81413,198,18078,183559,2544,489,155356,86,2083,59,0,9,890,0,16014,0,1898,4,0,837,291,0,3,1048,0,757,2,0,591,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heterocephalus_glaber,29,0,0,130,15,0,84,0,1,0,0,0,0,0,10,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydrochaeris_hydrochaeris,8,0,5,29,0,0,105,0,6,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Callosciurus_prevosti,2,0,0,185,1,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tolypeutes_matacus,1,0,2,282,34,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macropus_rufus,4,0,34,179,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tachyglossus_aculeatus,19585,44,917,93986,5488,104,8181,7,60,518,38,0,4,2,0,0,19,0,18,0,4,0,5,84,7,0,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhinecanthus_aculeatus,112971,97959,33710,17415,13060,5326,11167,4225,32849,227,2761,809,1401,322,121,0,32,1292,672,0,0,0,6,0,64,0,366,62,0,80,8,2,0,0,0,317,0,0,0,7,0,0,0,0,0,0,40,31,0,0,0,0,0,0,0,0,0
Cephalopholis_argus,72507,14492,4429,99607,1763,1581,11250,389,2794,4634,193,0,13,154,527,0,107,60,153,0,0,0,13,44,36,13,180,19,0,29,0,0,0,0,23,54,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaetodon_auriga,22847,743,866,33370,7972,96,1407,330,1024,165,21,0,144,98,64,0,0,79,0,0,0,0,20,0,0,0,0,0,0,3,0,0,0,0,0,155,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
Myripristis_berndti,2172,27,0,30911,207,0,1585,0,29,856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aulostomus_chinensis,15404,778,613,24576,8242,574,1915,143,509,335,100,0,47,0,133,0,40,4,0,0,0,0,66,49,0,0,0,0,81,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0
Dascyllus_flavicaudus,48281,22865,6744,111081,16264,1961,2987,689,2744,1902,321,154,520,674,0,0,0,164,183,55,0,0,262,0,13,0,88,0,0,106,0,0,0,0,45,156,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epibulus_insidiator,74851,13602,4751,39754,9122,3654,8874,505,1656,11270,244,175,410,279,283,0,306,455,217,30,0,0,194,0,21,0,202,0,53,47,35,0,0,0,16,67,0,0,69,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
Naso_lituratus,12429,212,16166,98848,806,10258,67768,2,4655,1103,0,0,8,0,3421,669,0,2,13,0,198,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epinephelus_merra,37276,1737,1466,177778,373,1438,9393,31,2212,3482,99,8,0,11,658,101,0,124,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaetodon_ornatissimus,14371,328,10204,145712,2726,12977,57120,2,899,2769,5,0,28,0,7176,0,1572,390,0,93,0,0,719,2549,10,0,2,376,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaetodon_reticulatus,11594,945,7370,124595,2462,18628,57269,2,1173,2746,0,2,3,12,8508,62,1104,150,0,0,188,0,694,1451,0,0,5,564,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zebrasoma_scopas,39577,127,13869,204182,1000,16336,113798,0,559,6442,0,207,656,0,11459,69,1208,132,0,129,0,0,1803,0,0,0,0,0,384,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abudefduf_sexfasciatus,78695,27642,9129,53086,18006,2391,6022,1120,8086,8481,306,177,533,975,8,0,0,135,129,26,12,0,0,0,119,3,190,0,0,80,40,0,0,0,0,110,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlorurus_spilurus,167385,49891,11889,37657,6653,3718,12205,1517,20496,5288,2451,170,437,705,500,0,315,207,501,0,0,15,400,297,67,3,597,38,0,12,17,0,0,0,36,766,0,0,11,37,17,0,38,0,0,4,0,0,0,15,0,0,0,0,0,0,0
Sargocentron_spiniferum,32623,2623,671,116242,2971,1036,3887,92,148,5941,0,2,30,28,1256,0,0,9,0,0,0,0,0,27,27,0,77,0,0,179,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ctenochaetus_striatus,118072,88788,26124,57568,8319,5741,21133,2153,25487,3340,1335,1012,1304,654,1974,22,245,119,2014,42,38,191,655,208,117,0,1654,325,7,0,0,5,0,0,87,230,0,0,8,28,15,2,117,0,16,0,0,0,0,0,0,0,0,0,0,0,0
Halichoeres_trimaculatus,85724,69996,18070,16222,15872,7635,8121,9698,23606,838,1401,922,2065,1056,666,0,65,5866,2279,0,0,130,1296,0,118,76,685,0,173,545,34,14,0,0,17,543,21,33,97,0,37,0,25,73,0,23,194,57,0,0,0,0,0,0,0,0,0
Cephalopholis_urodeta,52278,91,363,46063,4573,26500,1806,90,256,3190,7,13,3,0,220,0,58,7,3,0,0,0,9,0,0,0,0,0,0,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myripristis_violacea,24089,442,123,105996,3843,1160,6125,245,462,7559,8,0,70,42,282,0,0,0,0,0,0,0,0,3,100,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castor_fiber,1754,0,4392,21558,791,145,43027,0,37,20277,0,0,0,0,107,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equus_caballus,54505,97,22819,185909,2637,1175,158146,140,1400,45,7,127,3,0,37907,0,136,33,16,316,24,0,39,346,0,6191,0,0,630,0,2,0,0,177,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Equus_hemionus,851,215,36898,151742,1646,969,121267,443,1266,49,2,104,0,0,15818,3,282,196,0,446,31,0,336,269,0,6428,0,0,415,0,2,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vulpes_vulpes,2339,0,0,48884,1217,9,15242,0,0,133046,0,0,0,0,6,0,0,0,0,0,0,0,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nyctalus_noctula,103051,0,0,1635,32,0,43,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erinaceus_europaeus,58095,0,73,44699,308,10,1433,0,0,69610,8,0,0,0,2,0,2,0,0,0,0,0,270,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falco_tinnunculus,19054,0,0,1706,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sus_scrofa,15631,617,17948,394817,6621,1660,158378,73,1698,16226,43,0,0,15,43906,9,23,0,0,708,71,0,576,2795,9,1212,0,0,123,0,3,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Rupicapra_rupicapra,577,117,3432,144074,869,64,67536,83,312,30,0,0,0,0,393,0,11,6,0,0,80,0,0,4739,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canis_aureus,3710,0,0,15821,65,3,4506,0,0,66404,0,2,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marmota_marmota,414,14,7223,171195,942,0,33485,0,724,10,0,0,0,0,0,0,0,0,0,0,23,0,14,3535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capra_ibex,1483,265,4944,182298,349,569,96959,24,895,11,0,0,0,0,7798,9,0,7,0,0,428,0,0,1691,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capra_hircus,79483,71,1911,97411,6646,312,31378,34,439,15,0,0,0,0,1384,3,0,5,0,21,91,0,0,1943,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bos_frontalis,20424,25,1124,164968,1165,473,39350,213,390,9,0,0,0,0,148,0,0,9,0,25,37,0,0,1143,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cervus_unicolor,17005,43,667,171687,320,102,16998,42,260,0,5,0,0,0,543,0,0,7,0,33,43,0,0,757,0,264,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bos_taurus,3824,14,3490,151789,253,479,49223,86,910,10,0,0,2,0,1085,0,0,7,0,50,20,0,0,1498,0,474,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apodemus_sylvaticus,1517,0,0,46385,11,230,4848,0,9,4,0,0,0,0,238,3606,0,0,0,0,0,0,25395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ardea_cinerea,5746,3,0,80155,469,0,0,0,0,12,0,0,0,0,0,41,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haliaeetus_albicilla,45392,0,0,64522,269,0,533,0,0,4300,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phalacrocorax_carbo,16051,0,0,52734,4312,0,532,0,0,1030,0,0,0,0,13,0,0,0,5,0,0,0,2151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carduelis_chloris,12277,3,0,22020,125,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salvelinus_fontinalis,8214,0,0,848,0,0,2,0,0,2565,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemidactylus_frenatus,1800,0,6,5575,4392,231,234,0,0,194,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homo_sapiens,4321,0,801,177892,4144,329,138759,0,388,24,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursus_arctos,25041,18,32,132715,39,8,153,2,0,183,9,0,2,0,0,0,0,0,13,0,0,0,1004,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamenis_longissimus,59260,11,32,11945,480,28,25347,21,0,120,3,2,7,2,0,0,0,3,11,0,0,0,120,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
